,Sex,Race/Ethnicity,Age Group,Year,Injuries,Population,Female,Male,Black,Hispanic,Other Non-Hispanic,White Non-Hispanice,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
6,Male,White Non-Hispanice,00-04,2001,0,5862483,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Male,Black,00-04,2001,0,1585658,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Male,Hispanic,00-04,2001,0,1900490,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Male,Other Non-Hispanic,00-04,2001,0,518145,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Female,White Non-Hispanice,00-04,2001,0,5572690,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Female,Black,00-04,2001,0,1534360,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Female,Hispanic,00-04,2001,0,1817708,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Female,Other Non-Hispanic,00-04,2001,0,506683,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Male,White Non-Hispanice,00-04,2002,0,5824106,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Male,Black,00-04,2002,0,1587151,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Male,Hispanic,00-04,2002,0,1984870,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Male,Other Non-Hispanic,00-04,2002,0,535415,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Female,White Non-Hispanice,00-04,2002,0,5536491,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Female,Black,00-04,2002,0,1537138,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Female,Hispanic,00-04,2002,0,1901023,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Female,Other Non-Hispanic,00-04,2002,0,522998,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Male,White Non-Hispanice,00-04,2003,0,5798813,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Male,Black,00-04,2003,0,1586253,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Male,Hispanic,00-04,2003,0,2071342,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Male,Other Non-Hispanic,00-04,2003,0,556711,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Female,White Non-Hispanice,00-04,2003,0,5514301,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Female,Black,00-04,2003,0,1536309,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Female,Hispanic,00-04,2003,0,1986795,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Female,Other Non-Hispanic,00-04,2003,0,541922,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Male,White Non-Hispanice,00-04,2004,0,5778104,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Male,Black,00-04,2004,0,1594591,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Male,Hispanic,00-04,2004,0,2159162,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Male,Other Non-Hispanic,00-04,2004,0,578637,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Female,White Non-Hispanice,00-04,2004,0,5497477,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Female,Black,00-04,2004,0,1544215,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Female,Hispanic,00-04,2004,0,2072503,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Female,Other Non-Hispanic,00-04,2004,0,561196,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Male,White Non-Hispanice,00-04,2005,0,5738712,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Male,Black,00-04,2005,0,1609132,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Male,Hispanic,00-04,2005,0,2230740,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Male,Other Non-Hispanic,00-04,2005,0,597011,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Female,White Non-Hispanice,00-04,2005,0,5461740,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Female,Black,00-04,2005,0,1557484,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Female,Hispanic,00-04,2005,0,2143523,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Female,Other Non-Hispanic,00-04,2005,0,579058,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Male,White Non-Hispanice,00-04,2006,0,5677412,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Male,Black,00-04,2006,0,1620833,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Male,Hispanic,00-04,2006,0,2284131,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Male,Other Non-Hispanic,00-04,2006,0,605496,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Female,White Non-Hispanice,00-04,2006,0,5399693,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Female,Black,00-04,2006,0,1568275,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Female,Hispanic,00-04,2006,0,2195564,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Female,Other Non-Hispanic,00-04,2006,0,587479,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Male,White Non-Hispanice,00-04,2007,0,5656411,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Male,Black,00-04,2007,0,1657529,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Male,Hispanic,00-04,2007,0,2351798,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Male,Other Non-Hispanic,00-04,2007,0,619955,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Female,White Non-Hispanice,00-04,2007,0,5378998,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Female,Black,00-04,2007,0,1601834,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Female,Hispanic,00-04,2007,0,2258767,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Female,Other Non-Hispanic,00-04,2007,0,600670,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Male,White Non-Hispanice,00-04,2008,0,5620142,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Male,Black,00-04,2008,0,1695717,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Male,Hispanic,00-04,2008,0,2407689,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Male,Other Non-Hispanic,00-04,2008,0,633396,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Female,White Non-Hispanice,00-04,2008,0,5347779,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Female,Black,00-04,2008,0,1640071,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Female,Hispanic,00-04,2008,0,2312214,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Female,Other Non-Hispanic,00-04,2008,0,614119,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Male,White Non-Hispanice,00-04,2009,0,5545227,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
